institutionID,name,bic,environmentType,countries,brands,active,businessAccounts,aISAccount,aISAccounts,aISAccountBalances,aISAccountsWithoutBalance,aISTransactions,aISIdentity,aISStatements,pISDomesticSingle,pISDomesticSingleInstant,pISFuturePayment,pISStandingOrder,pISVRP,pISInternationalSingle,pISInternationalFuturePayment,pISInternationalFixedRecurring,pISBulkPayments,singleAuth,preAuth,embedded,domesticSinglePaymentRefund,domesticScheduledPaymentRefund,domesticPeriodicPaymentRefund,internationalSinglePaymentRefund,internationalScheduledPaymentRefund
aachener-bank,Aachener Bank eG,GENODED1AAC,LIVE,DE,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
abn-amro-be-asset,ABN AMRO Asset Managers Belgium,SGPBBE99XXX,LIVE,BE,abn-amro-nl,true,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
abn-amro-be-private,ABN AMRO Private Banking Belgium,SGPBBE99XXX,LIVE,BE,abn-amro-nl,true,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
abn-amro-nl,ABN AMRO Bank N.V.,ABNANL2AXXX,LIVE,"NL,BE,DE",abn-amro-nl,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
abn-amro-sandbox,Abn Amro Sandbox,ABNANL2AXXX,SANDBOX,"NL,BE,DE",abn-amro-nl,true,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
abtsgmuer-bank,Abtsgmünder Bank -Raiffeisen- eG,GENODES1ABR,LIVE,DE,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
aib,Allied Irish Bank Ireland Personal,AIBKIE2DXXX,LIVE,IE,,true,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
aibbusiness,Allied Irish Bank Ireland Business,AIBKIE2DXXX,LIVE,IE,,true,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
aibgb,Allied Irish Bank UK Personal,AIBKGB2LXXX,LIVE,GB,,true,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
aibgb-sandbox,Allied Irish Bank UK Personal Sandbox,AIBKGB2LXXX,SANDBOX,GB,,true,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
